payer_code,canonical_name,plan_type,high_turnover
AETNA_COMM,Aetna Commercial PPO,Commercial,False
CIGNA_COMM,Cigna Commercial PPO,Commercial,False
UHC_COMM,UnitedHealthcare Commercial,Commercial,False
HUMANA_COMM,Humana Commercial PPO,Commercial,False
BCBS_IL_PPO,BCBS Illinois PPO,Commercial,True
BCBS_IL_HMO,BCBS Illinois HMO,Commercial,False
ANTHEM,Anthem Blue Cross,Commercial,False
OSCAR,Oscar Health,Commercial,False
KAISER,Kaiser Permanente,Commercial,False
MAGELLAN,Magellan Health,Commercial,False
AMERIHEALTH,AmeriHealth,Commercial,False
HEALTHNET,Health Net,Commercial,False
MEDICARE_TFI,Medicare FFS,Medicare,False
HUMANA_MA,Humana MA,Medicare Advantage,False
UHC_MA,UHC MA,Medicare Advantage,False
AETNA_MA,Aetna MA,Medicare Advantage,False
MOLINA,Molina,Medicaid,True
CENTENE,Centene,Medicaid,True
AMBETTER,Ambetter,Medicaid,True
FIDELIS,Fidelis Care,Medicaid,True
MERIDIAN,Meridian,Medicaid,True
